id,faculty_id,code,name,emoji,site
142,12,EDBT,Education Bridge to Teaching,,education-bridge-to-teaching-edbt.html
143,12,EDPS,Educational Psychology,,educational-psychology.html
144,12,EDER,Educational Research,,educational-research.html
145,13,COOP,Co-operative Education,,cooperative-education.html
146,13,EESS,Energy and Environmental Systems,,energy-and-environmental-systems.html
147,13,INTE,Internship,,internship.html
148,13,PPOL,Public Policy,,public-policy-ppol.html
149,13,SEDV,Sustainable Energy Development,,sustainable-energy-development.html
150,13,UNIV,University,,university.html
151,13,UNEX,University Exchange,,university-exchange.html
